index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
5.88893933,37.03234756,1.090700673,5.033411959,180.5004973,-0.119736655,3.091123491,183.1135305,-0.26659631,X
5.8885817,37.49064801,1.090703657,5.033224461,182.7090552,-0.11977963,3.09094698,185.3627404,-0.266622902,X
5.890672334,37.75917823,1.090626795,5.03514027,183.9934365,-0.119815508,3.092068979,186.6750267,-0.26662956,X
5.893348976,37.95532078,1.090531403,5.037559253,184.9270008,-0.119850754,3.093511223,187.6313025,-0.266632061,X
5.892025212,37.70165166,1.090448058,5.036552064,183.6712311,-0.119887868,3.092869134,186.3649978,-0.266638776,X
5.89160522,37.31266482,1.090338372,5.036308332,181.7584627,-0.11992389,3.092720496,184.4300856,-0.266642585,X
5.891318188,36.93314548,1.090220348,5.036158823,179.894682,-0.119959363,3.09265129,182.5427171,-0.266647591,X
5.88963382,36.40116251,1.090107128,5.034793459,177.2908802,-0.119997398,3.091843124,179.9030915,-0.266658066,X
5.887438902,35.76634987,1.090043283,5.032962505,174.1887189,-0.120041207,3.090742934,176.7571512,-0.266683109,X
5.884816428,35.0525533,1.089948214,5.030739235,170.7032044,-0.120082926,3.089388766,173.2219027,-0.266703675,X
5.882297331,34.14658628,1.0898349,5.0285754,166.2824127,-0.120125786,3.088052228,168.7376118,-0.266724534,X
5.936210205,20.26865245,1.084425589,5.074630794,98.69969929,-0.119580881,3.116339027,100.1578405,-0.265442176,X
5.932994956,17.84529453,1.082221946,5.071852153,86.89792214,-0.11937781,3.114635053,88.18224229,-0.264935198,X
5.930653382,16.39709904,1.08060063,5.069826257,79.84547481,-0.119228101,3.113392197,81.02585852,-0.264562787,X
5.928714456,15.33222836,1.07922185,5.068147236,74.66001519,-0.119097582,3.112361445,75.76392592,-0.264244167,X
5.927127216,14.52980311,1.078057803,5.066765473,70.75348548,-0.118984691,3.111513684,71.7997044,-0.263973534,X
5.934092329,13.97397211,1.077180716,5.072682047,68.04946874,-0.118899522,3.115147644,69.05572886,-0.26377042,X
5.949791984,13.7507968,1.076534685,5.08604793,66.96740905,-0.118837161,3.123355546,67.95769201,-0.263621661,X
5.964381596,13.55026527,1.075940374,5.098463334,65.99620787,-0.118779137,3.130978315,66.97224832,-0.26348374,X
